A01,Nimzovich-Larsen Attack
A02,Bird's Opening
A03,Bird's Opening
A04,Reti Opening
A05,Reti Opening
A06,Reti Opening
A07,King's Indian Attack
A08,King's Indian Attack
A09,Reti Opening
A10,English
A11,"English, Caro-Kann Defensive System"
A12,English with b3
A13,English
A14,English
A15,English
A16,English
A17,English
A18,"English, Mikenas-Carls"
A19,"English, Mikenas-Carls"
A20,English
A21,English
A22,English
A23,"English, Bremen System"
A24,"English, Bremen System with ...g6"
A25,English
A26,English
A27,"English, Three Knights System"
A28,English
A29,"English, Four Knights"
A30,"English, Symmetrical"
A31,"English, Symmetrical"
A32,"English, Symmetrical Variation"
A33,"English, Symmetrical"
A34,"English, Symmetrical"
A35,"English, Symmetrical"
A36,English
A37,"English, Symmetrical"
A38,"English, Symmetrical"
A39,"English, Symmetrical"
A40,Queen's Pawn Game
A41,Queen's Pawn Game (with ...d6)
A42,"Modern Defense, Averbakh System"
A43,Old Benoni
A44,Old Benoni Defense
A45,Queen's Pawn Game
A46,Queen's Pawn Game
A47,Queen's Indian
A48,King's Indian
A49,"King's Indian, Fianchetto without c4"
A50,Queen's Pawn Game
A51,Budapest Gambit
A52,Budapest Gambit
A53,Old Indian
A54,"Old Indian, Ukrainian Variation"
A55,"Old Indian, Main line"
A56,Benoni Defense
A57,Benko Gambit
A58,Benko Gambit
A59,Benko Gambit
A60,Benoni Defense
A61,Benoni
A62,"Benoni, Fianchetto Variation"
A63,"Benoni, Fianchetto"
A64,"Benoni, Fianchetto"
A65,"Benoni, 60000"
A66,Benoni
A67,"Benoni, Taimanov Variation"
A68,"Benoni, Four Pawns Attack"
A69,"Benoni, Four Pawns Attack"
A70,"Benoni, Classical with 7.Nf3"
A71,"Benoni, Classical"
A72,"Benoni, Classical without 9.O-O"
A73,"Benoni, Classical"
A74,"Benoni, Classical"
A75,"Benoni, Classical with ...a6 and 10...Bg4"
A76,"Benoni, Classical"
A77,"Benoni, Classical"
A78,"Benoni, Classical with ...Re8 and ...Na6"
A79,"Benoni, Classical"
A80,Dutch
A81,Dutch
A82,"Dutch, Staunton Gambit"
